Country_Region,Confirmed,Deaths,dailyConfirmed,dailyDeaths
Norway,344692.0,869.0,944.0,2.0
Oman,176622.0,2617.0,483.0,7.0
Pakistan,813755.0,18757.0,2229.0,51.0
Palau,10.0,0.0,0.0,0.0
Panama,249130.0,3406.0,682.0,9.0
Papua New Guinea,35378.0,581.0,96.0,1.0
Paraguay,358169.0,14362.0,981.0,39.0
Peru,1281694.0,109620.0,3511.0,300.0
Philippines,2369915.0,42260.0,6492.0,115.0
Poland,2813337.0,68500.0,7707.0,187.0
Portugal,975968.0,12049.0,2673.0,33.0
Qatar,106694.0,373.0,292.0,1.0
Romania,1176628.0,42985.0,3223.0,117.0
Russia,7193058.0,246400.0,19707.0,675.0
Rwanda,103403.0,1258.0,283.0,3.0
Saint Kitts and Nevis,2967.0,28.0,8.0,0.0
Saint Lucia,13217.0,290.0,36.0,0.0
Saint Vincent and the Grenadines,5729.0,81.0,15.0,0.0
Samoa,1.0,0.0,0.0,0.0
San Marino,5869.0,41.0,16.0,0.0
Sao Tome and Principe,2883.0,40.0,7.0,0.0
Saudi Arabia,193495.0,2654.0,530.0,7.0
Senegal,55915.0,1480.0,153.0,4.0
Serbia,961416.0,9503.0,2634.0,26.0
Seychelles,24562.0,134.0,67.0,0.0
Sierra Leone,4453.0,47.0,12.0,0.0
Singapore,220806.0,799.0,604.0,2.0
Slovakia,1096479.0,14497.0,3004.0,39.0
Slovenia,341896.0,2892.0,936.0,7.0
Solomon Islands,7.0,0.0,0.0,0.0
Somalia,18818.0,1203.0,51.0,3.0
South Africa,2401125.0,62676.0,6578.0,171.0
South Sudan,11684.0,72.0,32.0,0.0
Spain,4366480.0,38568.0,11962.0,105.0
Sri Lanka,543946.0,14775.0,1490.0,40.0
Sudan,21018.0,1863.0,57.0,5.0
Summer Olympics 2020,865.0,0.0,2.0,0.0
Suriname,46236.0,1067.0,126.0,2.0
Sweden,877405.0,6583.0,2403.0,18.0
Switzerland,880319.0,4344.0,2411.0,11.0
Syria,38844.0,2186.0,106.0,5.0
Taiwan*,16230.0,843.0,44.0,2.0
Tajikistan,3828.0,35.0,10.0,0.0
Tanzania,28797.0,716.0,78.0,1.0
Thailand,2216551.0,21637.0,6072.0,59.0
Timor-Leste,19793.0,122.0,54.0,0.0
Togo,26530.0,180.0,72.0,0.0
Tonga,1.0,0.0,0.0,0.0
Trinidad and Tobago,84749.0,2742.0,232.0,7.0
Tunisia,587566.0,20893.0,1609.0,57.0
Turkey,7273898.0,61480.0,19928.0,168.0
Tuvalu,0.0,0.0,0.0,0.0
US,34690642.0,475061.0,95042.0,1301.0
Uganda,105521.0,3043.0,289.0,8.0
